suburb,sa4_area,crime_type,year,incident_count
Redfern,N/A,Assault,2024-2025,7.708333333333333
Redfern,N/A,Assault,2024-2025,13.583333333333334
Redfern,N/A,Assault,2024-2025,1.0833333333333333
Redfern,N/A,Sexual offences,2024-2025,2.5
Redfern,N/A,Sexual offences,2024-2025,2.125
Redfern,N/A,Abduction and kidnapping,2024-2025,0.20833333333333334
Redfern,N/A,Robbery,2024-2025,1.0
Redfern,N/A,Robbery,2024-2025,0.08333333333333333
Redfern,N/A,Robbery,2024-2025,0.75
Redfern,N/A,Blackmail and extortion,2024-2025,0.25
Redfern,N/A,Coercive Control,2024-2025,0.0
Redfern,N/A,"Intimidation, stalking and harassment",2024-2025,14.291666666666666
Redfern,N/A,Other offences against the person,2024-2025,0.4583333333333333
Redfern,N/A,Theft,2024-2025,5.833333333333333
Redfern,N/A,Theft,2024-2025,0.875
Redfern,N/A,Theft,2024-2025,5.916666666666667
Redfern,N/A,Theft,2024-2025,3.2916666666666665
Redfern,N/A,Theft,2024-2025,6.208333333333333
Redfern,N/A,Theft,2024-2025,12.666666666666666
Redfern,N/A,Theft,2024-2025,12.708333333333334
Redfern,N/A,Theft,2024-2025,1.5
Redfern,N/A,Theft,2024-2025,0.0
Redfern,N/A,Theft,2024-2025,15.208333333333334
Redfern,N/A,Theft,2024-2025,14.833333333333334
Redfern,N/A,Arson,2024-2025,0.6666666666666666
Redfern,N/A,Malicious damage to property,2024-2025,15.25
Redfern,N/A,Drug offences,2024-2025,0.4583333333333333
Redfern,N/A,Drug offences,2024-2025,1.5416666666666667
Redfern,N/A,Drug offences,2024-2025,5.166666666666667
Redfern,N/A,Drug offences,2024-2025,4.375
Redfern,N/A,Drug offences,2024-2025,0.041666666666666664
Redfern,N/A,Drug offences,2024-2025,3.25
Redfern,N/A,Drug offences,2024-2025,0.20833333333333334
Redfern,N/A,Drug offences,2024-2025,1.0833333333333333
Redfern,N/A,Drug offences,2024-2025,0.20833333333333334
Redfern,N/A,Drug offences,2024-2025,0.5416666666666666
Redfern,N/A,Drug offences,2024-2025,0.0
Redfern,N/A,Drug offences,2024-2025,0.2916666666666667
Redfern,N/A,Drug offences,2024-2025,0.0
Redfern,N/A,Drug offences,2024-2025,0.0
Redfern,N/A,Drug offences,2024-2025,0.0
Redfern,N/A,Drug offences,2024-2025,1.875
Redfern,N/A,Prohibited and regulated weapons offences,2024-2025,5.833333333333333
Redfern,N/A,Disorderly conduct,2024-2025,5.083333333333333
Redfern,N/A,Disorderly conduct,2024-2025,1.2916666666666667
Redfern,N/A,Disorderly conduct,2024-2025,0.3333333333333333
Redfern,N/A,Disorderly conduct,2024-2025,1.375
Redfern,N/A,Betting and gaming offences,2024-2025,0.0
Redfern,N/A,Liquor offences,2024-2025,1.375
Redfern,N/A,Pornography offences,2024-2025,0.16666666666666666
Redfern,N/A,Against justice procedures,2024-2025,0.0
Redfern,N/A,Against justice procedures,2024-2025,8.5
Redfern,N/A,Against justice procedures,2024-2025,97.66666666666667
Redfern,N/A,Against justice procedures,2024-2025,0.08333333333333333
Redfern,N/A,Against justice procedures,2024-2025,1.9166666666666667
Redfern,N/A,Against justice procedures,2024-2025,1.0
Redfern,N/A,Transport regulatory offences,2024-2025,17.416666666666668
Redfern,N/A,Other offences,2024-2025,4.375
Surry Hills,N/A,Homicide,2024-2025,0.0
Surry Hills,N/A,Homicide,2024-2025,0.0
Surry Hills,N/A,Homicide,2024-2025,0.0
Surry Hills,N/A,Homicide,2024-2025,0.0
Surry Hills,N/A,Assault,2024-2025,8.875
Surry Hills,N/A,Assault,2024-2025,19.541666666666668
Surry Hills,N/A,Assault,2024-2025,3.4583333333333335
Surry Hills,N/A,Sexual offences,2024-2025,4.458333333333333
Surry Hills,N/A,Sexual offences,2024-2025,2.9583333333333335
Surry Hills,N/A,Abduction and kidnapping,2024-2025,0.08333333333333333
Surry Hills,N/A,Robbery,2024-2025,1.5833333333333333
Surry Hills,N/A,Robbery,2024-2025,0.08333333333333333
Surry Hills,N/A,Robbery,2024-2025,0.75
Surry Hills,N/A,Blackmail and extortion,2024-2025,0.6666666666666666
Surry Hills,N/A,Coercive Control,2024-2025,0.041666666666666664
Surry Hills,N/A,"Intimidation, stalking and harassment",2024-2025,13.541666666666666
Surry Hills,N/A,Other offences against the person,2024-2025,0.3333333333333333
Surry Hills,N/A,Theft,2024-2025,5.75
Surry Hills,N/A,Theft,2024-2025,3.8333333333333335
