suburb,osm_score,cafe,restaurant,gym,school,hospital,pharmacy,library,park,playground,sports_centre
Shanes Park,0.0313,0,0,1,3,0,0,0,13,11,1
Silverwater,0.0534,8,3,0,3,0,0,0,22,5,1
Singletons Mill,0.0,0,0,0,0,0,0,0,0,0,0
Smeaton Grange,0.0296,0,0,0,2,0,0,0,15,5,2
Smithfield,0.0849,0,1,0,6,0,1,1,41,21,1
Somersby,0.0997,19,10,7,10,2,2,2,24,17,2
South Coogee,0.032,1,0,0,1,0,0,1,17,5,0
South Granville,0.0477,0,0,0,3,0,1,0,23,14,0
South Hurstville,0.0386,1,0,0,6,0,1,2,16,11,0
South Maroota,0.0022,0,0,0,0,0,0,0,1,1,0
South Penrith,0.0806,2,6,1,6,0,0,0,31,22,4
South Turramurra,0.0359,3,2,0,3,0,1,0,13,10,1
South Wentworthville,0.0457,1,5,1,4,1,1,0,16,13,0
South Windsor,0.0317,2,0,1,5,0,0,0,12,6,3
Spencer,0.0022,0,0,0,0,0,0,0,1,1,0
Spring Farm,0.066,0,0,0,3,0,0,0,36,11,0
St Andrews,0.0285,0,0,0,1,0,0,0,16,4,0
St Clair,0.1364,4,6,1,9,0,2,1,63,26,0
St Helens Park,0.0247,0,0,0,3,0,0,0,13,3,0
St Huberts Island,0.0134,1,0,0,0,0,0,0,7,2,0
St Ives,0.1254,12,14,1,13,0,4,1,40,28,2
St Ives Chase,0.0161,1,1,0,3,0,1,0,5,4,1
St Johns Park,0.0501,0,1,0,4,0,0,0,25,10,0
St Leonards,0.0843,29,19,5,2,3,4,1,9,5,3
St Marys,0.1981,10,17,4,13,0,8,1,77,37,7
St Peters,0.06,16,0,0,0,0,1,1,21,11,3
Stanhope Gardens,0.0857,6,12,1,3,0,1,1,29,21,2
Stanmore,0.0595,13,16,0,5,0,2,2,10,7,0
Strathfield,0.1785,20,37,1,23,3,4,3,44,27,2
Strathfield South,0.0394,1,1,1,4,0,1,1,17,9,0
Summer Hill,0.0788,11,12,1,6,1,1,0,25,9,0
Surry Hills,0.4741,141,206,0,6,1,8,2,28,9,2
Sutherland,0.0893,14,7,2,8,0,1,3,28,17,2
Sydenham,0.0158,3,0,0,0,0,0,1,7,2,0
Sydney,1.0,325,408,0,12,4,32,10,60,11,5
Sydney Olympic Park,0.1714,30,23,1,5,0,4,1,53,23,8
Sylvania,0.0408,3,0,1,3,0,2,1,18,6,2
Sylvania Waters,0.0205,1,0,0,1,0,1,0,10,3,1
Tallawong,0.0181,0,0,1,3,0,0,0,7,6,0
Tamarama,0.0145,2,0,0,0,0,0,0,7,2,0
Taren Point,0.018,3,0,2,1,0,0,0,6,3,1
Tascott,0.0069,0,0,0,0,0,1,0,3,3,0
Telopea,0.041,0,0,0,3,0,0,1,22,6,0
Tempe,0.0354,3,1,0,2,0,0,0,15,7,2
Tennyson,0.003,0,0,0,1,0,0,0,1,1,0
Tennyson Point,0.0113,0,0,0,0,0,0,0,6,3,0
Terrey Hills,0.057,11,9,0,7,1,2,1,9,16,4
The Ponds,0.0947,4,5,2,7,0,1,0,36,31,0
The Rocks,0.1003,29,35,0,0,0,1,0,14,2,1
